x,y
0.4999999999999999,7.0
0.48564157429500643,6.991603671523269
0.47137713502627143,6.983048644173017
0.45720843616649465,6.974335969885754
0.44313721991602073,6.965466719982443
0.4291652164886135,6.956441985036777
0.41529414389870933,6.947262874741079
0.4015257077501666,6.937930517769848
0.3878616010265413,6.928446061640983
0.37430350388291966,6.918810672574677
0.3608530834393191,6.90902553535002
0.34751199357570184,6.899091853159318
0.33428187472860915,6.889010847460144
0.3211643536894513,6.878783757825148
0.30816104340447703,6.868411841789638
0.2952735427764417,6.857896374696951
0.2825034364680059,6.847238649541637
0.269852294706882,6.836439976810466
0.25732167309275833,6.825501684321295
0.24491311240602087,6.814425117059796
0.23262813841829466,6.80321163701407
0.22046826170483658,6.7918626230071855
0.20843497745878947,6.780379470527625
0.19652976530733524,6.768763591557704
0.18475408912975588,6.757016414399946
0.17310939687743154,6.745139383501456
0.1615971203958031,6.733133959276319
0.1502186752483059,6.721001617926011
0.13897546054231436,6.708743851257895
0.12786885875710374,6.696362166501784
0.11690023557385842,6.683858086124604
0.10607093970774906,6.6712331476432
0.09538230274208837,6.6584889034352726
0.08483563896460256,6.645626920548498
0.07443224520582303,6.632648780507847
0.06417340067962463,6.619556079121109
0.054060366825935624,6.60635042628268
0.044094387155626524,6.593033445775599
0.034276687097608116,6.579606775071892
0.024608473848151347,6.566072065131225
0.015090936222446949,6.5524309801978955
0.005725244508430372,6.538685197596204
-0.003487449677121335,6.524836407524198
-0.012546013530191136,6.510886312845851
-0.021449333198813703,6.496836628881672
-0.030196313920038298,6.482689083197791
-0.038785880154537766,6.46844541539353
-0.04721697571886252,6.454107376887507
-0.05548856391530732,6.439676730702272
-0.0635996276593851,6.425155251247531
-0.07154916960489155,6.410544724101954
-0.07933621226653531,6.395846945793628
-0.08695979814013621,6.381063723579143
-0.09441898982035646,6.36619687522138
-0.10171287011596752,6.351248228765989
-0.10884054216262928,6.336219622316613
-0.11580112953316779,6.321112903808874
-0.12259377634534374,6.305929930783145
-0.1292176473670923,6.290672570156148
-0.13567192811922224,6.275342697991395
-0.14195582497556858,6.259942199268504
-0.14806856526057532,6.244472967651419
-0.1540093973443064,6.228936905255563
-0.15977759073486464,6.213335922413957
-0.16537243616821629,6.197671937442313
-0.170793245695402,6.181946876403163
-0.17603935276712734,6.16616267286903
-0.18111011231572371,6.150321267684662
-0.1860049008344653,6.134424608728398
-0.19072311645423756,6.118474650672643
-0.19526417901754245,6.102473354743527
-0.1996275301498367,6.086422688479746
-0.20381263332818866,6.07032462549063
-0.20781897394725135,6.054181145213471
-0.21164605938253822,6.037994232670123
-0.21529341905099586,6.021765878222925
-0.2187606044688697,6.005498077329963
-0.22204718930684808,5.989192830299704
-0.22515276944248552,5.97285214204504
-0.22807696300989333,5.956478021836756
-0.23081941044669474,5.940072483056474
-0.23337977453823644,5.923637542949077
-0.2357577404590545,5.907175222374674
-0.23795301581158346,5.890687545560108
-0.23996533066211168,5.874176539850057
-0.2417944375739718,5.857644235457748
-0.24344011163796653,5.841092665215318
-0.24490215050002284,5.824523864323859
-0.24618037438607443,5.807939870103162
-0.24727462612416673,5.791342721741209
-0.2481847711637828,5.774734460043433
-0.24891069759238826,5.758117127181771
-0.2494523161491915,5.741492766443568
-0.2498095602361201,5.72486342198032
-0.24998238592600885,5.708231138556332
-0.24997077196800221,5.6915979612972825
-0.24977471979016652,5.6749659354387605
-0.24939425349931432,5.658337106074775
-0.2488294198780412,5.641713517906294
-0.24808028837897167,5.625097214989819
-0.2471469511162212,5.608490240486047
-0.24602952285406787,5.591894636408643
-0.24472814099284212,5.575312443373153
-0.24324296555203095,5.5587457003460825
-0.24157417915060253,5.542196444394186
-0.23972198698455083,5.525666710433986
-0.2376866168016638,5.509158530981556
-0.23546831887352027,5.492673935902604
-0.233067365964716,5.476214952162875
-0.23048405329932375,5.459783603578909
-0.22771869852459248,5.4433819105691965
-0.224771641671889,5.427011889905742
-0.2216432451148871,5.4106755544660805
-0.21833389352501076,5.394374912985772
-0.21484399382413288,5.378111969811402
-0.21117397513454006,5.361888724654128
-0.2073242887261686,5.34570717234379
-0.20329540796111356,5.329569302583628
-0.19908782823542603,5.31347709970562
-0.19470206691819625,5.297432542426491
-0.19013866328793916,5.281437603604402
-0.18539817846628281,5.265494249996374
-0.1804811953489729,5.249604442016443
-0.17538831853419934,5.2337701334946125
-0.1701201742482532,5.217993271436604
-0.16467741026852556,5.202275795784453
-0.15906069584385696,5.1866196391779695
-0.1532707216122442,5.171026726717103
-0.14730819951592045,5.155498975725223
-0.14117386271381194,5.140038295513367
-0.13486846549138898,5.1246465871454685
-0.12839278316791858,5.109325743204598
-0.12178758880601803,5.094060218285611
-0.11530723757884087,5.078741348595343
-0.10899714984804909,5.063351562584982
-0.10285810150965968,5.047892752601225
-0.09689084742848042,5.032366819478039
-0.09109612134528744,5.016775672302935
-0.08547463578660763,5.001121228182222
-0.08002708197710207,4.985405412005277
-0.07475412975457396,4.96963015620786
-0.06965642748760481,4.9537974005345005
-0.06473460199582926,4.937909091799979
-0.05998925847286074,4.921967183649947
-0.05542098041187704,4.905973636320711
-0.05103032953387232,4.889930416398188
-0.04681784571858749,4.873839496576097
-0.04278404693812621,4.857702855413398
-0.03892942919326359,4.841522477090998
-0.035254466452459,4.825300351167782
-0.03175961059357402,4.809038472335968
-0.028445291348311752,4.79273884017584
-0.025311916249373345,4.776403458909878
-0.022359870580349828,4.7600343371563145
-0.019589517328346684,4.743633487682153
-0.01700119713934911,4.727202927155677
-0.014595228276337524,4.710744675898474
-0.012371906580152414,4.694260757637021
-0.010331505433117671,4.677753199253839
-0.008474275725425917,4.661224030538268
-0.006800445824287404,4.644675283936877
-0.005310221545850702,4.62810899430356
-0.004003786129895381,4.611527198649322
-0.0028813002172998203,4.594931935891805
-0.001942901830288335,4.578325246604586
-0.00118870635546231,4.561709172766259
-0.000618806529608662,4.545085757509354
-0.00023327242829895845,4.528457044869113
-3.2151457272977524e-05,4.511825079532149
0.0,4.495191883168925
0.0,4.478558616635859
